oldAC,occurrence,source,heading,shape,explicitRefs,chosenOldUS,decision,reason,status,oldACExcerpt,chosenUSSource,chosenUSExcerpt
"AC-0003-0033","1","spec-0003/03_Acceptance-Criteria.md:325","## AC-0003-0033: portability の degrade 方向","prose","US-0003-0026","US-0003-0026","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:325 declares US-0003-0026 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0026 - Given Node version ファイルを持たない adopter fixture と、`packageManager` field を持たない adopter fixture - When 配布 setup-install 列をそれぞれの fixture で走らせる - Then Node version ファイル不在は fail **open**: documented literal が使われ warning annotation が出て lane は","spec-0003/02_User-stories.md:195","- Parent: CAP-0003 - Goal: 配布 workflow が adopter 自身の Node version ファイルを優先し、不在時は warning 付きで documented literal に fail open する。package manager が解決できない場合は修正方法を名指しする actionable annotation で fail closed する。既存の lockfile 検出 install branch（4 package manager + no-lock"
"AC-0003-0034","1","spec-0003/03_Acceptance-Criteria.md:332","## AC-0003-0034: 配布 workflow 所有権コントラクト","prose","US-0003-0027","US-0003-0027","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:332 declares US-0003-0027 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0027 - Given adopter の workflows ディレクトリに (a) QFAI が配布する名前と衝突する adopter 作成ファイル、(b) 記録上 QFAI が install した後 adopter が削除したファイル、(c) 手編集された install 済みファイル が存在する fixture - When `.qfai/contracts/cli/shipped-workflows.md` (`CLI-WFSET`) が定める所有権境界に対して ","spec-0003/02_User-stories.md:202","- Parent: CAP-0003 - Goal: QFAI が adopter の workflows ディレクトリ配下で「自身が配布する `qfai-` prefix ファイルのみ」を所有することを、文書化かつテストされたコントラクトとして宣言する。write set は配布名リスト、prune set は過去配布名リストに由来し、provenance を overwrite / prune の前に参照することで adopter 作成ファイルと `declined` ファイルが構造的に守られる - Non-g"
"AC-0003-0035","1","spec-0003/03_Acceptance-Criteria.md:339","## AC-0003-0035: 配布 set structural contract gate","prose","US-0003-0028","US-0003-0028","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:339 declares US-0003-0028 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0028 - Given テストスイート内に 1 箇所だけ保持された配布 set の宣言された期待形状（値の SSOT はそこであり、spec も contract も値を再記載しない） - When 配布 set を clean な状態で gate に掛け、続いて profile 値と failure threshold を planted divergence させて `pnpm ci:lint` を走らせる - Then clean では exit 0、planted で","spec-0003/02_User-stories.md:209","- Parent: CAP-0003 - Goal: テストスイート内に保持された 1 つの宣言された期待形状に対して配布 set を assert する gate が、lint aggregate または test matrix から実行され、profile 値や failure threshold といった load-bearing な semantic 値の drift で exit 1 する - Non-goals: リポジトリ自身の複製との byte-identity 比較（比較対象は spec-0017"
"AC-0003-0036","1","spec-0003/03_Acceptance-Criteria.md:346","## AC-0003-0036: declined name の copy 前除外","prose","US-0003-0027","US-0003-0027","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:346 declares US-0003-0027 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0027 - Given provenance 記録上 QFAI が install した後 adopter が削除した配布名が 1 件あり、そのファイルはディスク上に存在しない fixture - When `qfai init` を実行し、copy set の構築経路を観測する - Then 当該名は copy が実行される**前に** copy set から除外されており、init 後もディスク上に存在しない。create-only 判定だけに依存していない — decl","spec-0003/02_User-stories.md:202","- Parent: CAP-0003 - Goal: QFAI が adopter の workflows ディレクトリ配下で「自身が配布する `qfai-` prefix ファイルのみ」を所有することを、文書化かつテストされたコントラクトとして宣言する。write set は配布名リスト、prune set は過去配布名リストに由来し、provenance を overwrite / prune の前に参照することで adopter 作成ファイルと `declined` ファイルが構造的に守られる - Non-g"
"AC-0003-0037","1","spec-0003/03_Acceptance-Criteria.md:353","## AC-0003-0037: Codex agent profile の init 生成","prose","US-0003-0006","US-0003-0006","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:353 declares US-0003-0006 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0006 - Given `.qfai/assistant/agents/<name>.md` and `assistant/manifest/agent-catalog.yml#agents[].kind` exist, or, with the `rule/ skill/ agent/ prompt/` assistant tree, `.qfai/assistant/agent/<name>.md` whose frontmatter carries `kind` - W","spec-0003/02_User-stories.md:105","- Parent: CAP-0003 - Goal: `qfai init` places `.claude/agents/<name>.md` and `.github/agents/<name>.agent.md` as file symlinks to `.qfai/assistant/agents/<name>.md`, or to `.qfai/assistant/agent/<name>.md` with the `rule/ skill/ agent/ prompt/` assistant tree."
"AC-0003-0038","1","spec-0003/03_Acceptance-Criteria.md:361","## AC-0003-0038: Independent shipped checks and a complete aggregate verdict","prose","US-0003-0023","US-0003-0023","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:361 declares US-0003-0023 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0023 - Given the workflow set `qfai init` delivers into a fresh adopter project - When the delivered document and validation workflows are evaluated statically for a pull request and for a push, and each aggregate job's body is evaluated aga","spec-0003/02_User-stories.md:174","- Parent: CAP-0003 - Goal: `qfai init` が `qfai-` prefix の複数 workflow ファイルを配布し、layer 別 lane は orchestrator ファイル内の job として表現され、adopter が対応する layer 名スクリプトを宣言するまで各 lane が false 条件で skip される。set 全体で secret を宣言も参照もしない - Non-goals: composite-action テンプレートの配布（配布 `.git"
"AC-0003-0039","1","spec-0003/03_Acceptance-Criteria.md:368","## AC-0003-0039: Story-tree seed on a fresh project","prose","US-0003-0029","US-0003-0029","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:368 declares US-0003-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0029 - Given an empty project directory, which `qfai init` lays out as the story tree - When `qfai init` runs - Then `.qfai/spec/` holds `decisions.md` and `open-questions.md` with their header rows only, `01_policy/glossary.md`, `01_policy/","spec-0003/02_User-stories.md:216","- Parent: CAP-0003 - Goal: on a project that carries no spec-pack layout, `qfai init` lays out the story tree. It writes the `.qfai/spec/` singleton files and contract directories create-only, with no business-flow or user-story instance, and points `paths.spe"
"AC-0003-0040","1","spec-0003/03_Acceptance-Criteria.md:376","## AC-0003-0040: Story-tree seeds are create-only","prose","US-0003-0029","US-0003-0029","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:376 declares US-0003-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0029 - Given a project on the story tree whose `.qfai/spec/` seed files exist and carry the project's edits, with one seed file deleted - When `qfai init` runs, and again as `qfai init --force` - Then each existing seed file is left byte-ide","spec-0003/02_User-stories.md:216","- Parent: CAP-0003 - Goal: on a project that carries no spec-pack layout, `qfai init` lays out the story tree. It writes the `.qfai/spec/` singleton files and contract directories create-only, with no business-flow or user-story instance, and points `paths.spe"
"AC-0003-0041","1","spec-0003/03_Acceptance-Criteria.md:383","## AC-0003-0041: Configured spec and contract paths","prose","US-0003-0029","US-0003-0029","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:383 declares US-0003-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0029 - Given an empty project directory, which `qfai init` lays out as the story tree - When `qfai init` runs - Then `qfai.config.yaml` carries `paths.specsDir: .qfai/spec` and `paths.contractsDir: .qfai/spec/03_contract`, and a configuratio","spec-0003/02_User-stories.md:216","- Parent: CAP-0003 - Goal: on a project that carries no spec-pack layout, `qfai init` lays out the story tree. It writes the `.qfai/spec/` singleton files and contract directories create-only, with no business-flow or user-story instance, and points `paths.spe"
"AC-0003-0042","1","spec-0003/03_Acceptance-Criteria.md:390","## AC-0003-0042: Spec-pack layout left to the migration skill","prose","US-0003-0029","US-0003-0029","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:390 declares US-0003-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0029 - Given a project where the configured `paths.specsDir` holds a `spec-*/` or `_policies/` directory, or where `.qfai/contracts/` exists - When `qfai init` runs - Then nothing is written under `.qfai/spec/`, everything else is written as","spec-0003/02_User-stories.md:216","- Parent: CAP-0003 - Goal: on a project that carries no spec-pack layout, `qfai init` lays out the story tree. It writes the `.qfai/spec/` singleton files and contract directories create-only, with no business-flow or user-story instance, and points `paths.spe"
"AC-0003-0043","1","spec-0003/03_Acceptance-Criteria.md:398","## AC-0003-0043: Policy and contract files replace the catalog seeds","prose","US-0003-0029","US-0003-0029","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:398 declares US-0003-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0029 - Given an empty project directory, which `qfai init` lays out as the story tree - When `qfai init` runs - Then `.qfai/spec/01_policy/objective.md`, `initiative.md` and `principle.md` and `.qfai/spec/03_contract/tech.md` and `structure.","spec-0003/02_User-stories.md:216","- Parent: CAP-0003 - Goal: on a project that carries no spec-pack layout, `qfai init` lays out the story tree. It writes the `.qfai/spec/` singleton files and contract directories create-only, with no business-flow or user-story instance, and points `paths.spe"
"AC-0003-0044","1","spec-0003/03_Acceptance-Criteria.md:405","## AC-0003-0044: Migration skill installed and linked","prose","US-0003-0030","US-0003-0030","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:405 declares US-0003-0030 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0030 - Given an empty project directory, and separately a project still on the spec-pack layout - When `qfai init` runs on each - Then `qfai-migration-spec-to-story/` with its `SKILL.md` and `scripts/` is installed under `.qfai/assistant/ski","spec-0003/02_User-stories.md:223","- Parent: CAP-0003 - Goal: `qfai init` installs `/qfai-migration-spec-to-story` and links it into the host skill directories like every shipped skill, on a fresh project and on one still on the spec-pack layout. The migration's scripts reuse init's integration"
"AC-0003-0045","1","spec-0003/03_Acceptance-Criteria.md:412","## AC-0003-0045: Migration reuses init's writers","prose","US-0003-0030","US-0003-0030","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:412 declares US-0003-0030 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0030 - Given the package implementation of the migration steps that repoint the host integration links and update the managed `.gitignore` block - When that implementation is inspected - Then the link step calls init's integration-directory ","spec-0003/02_User-stories.md:223","- Parent: CAP-0003 - Goal: `qfai init` installs `/qfai-migration-spec-to-story` and links it into the host skill directories like every shipped skill, on a fresh project and on one still on the spec-pack layout. The migration's scripts reuse init's integration"
"AC-0003-0046","1","spec-0003/03_Acceptance-Criteria.md:419","## AC-0003-0046: Guards reject the story-tree ID shapes","prose","US-0003-0031","US-0003-0031","explicit_parent","Source spec-0003/03_Acceptance-Criteria.md:419 declares US-0003-0031 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0003-0031 - Given the shipped surface, and copies of it that each carry one planted ID of the shapes `DEC-NNNN`, `OQ-NNNN`, `BF-NNNN`, `US-NNNN-NNNN`, `AC-NNNN-NNNN-NN`, `EX-NNNN-NNNN-NN` or `BR-NNNN` - When the post-build guard and the smoke tes","spec-0003/02_User-stories.md:230","- Parent: CAP-0003 - Goal: the pre-build lint, the post-build guard and the smoke test reject the story-tree internal ID shapes in the shipped surface, so no such ID reaches an adopter through a template or a skill. An ID numbered in the sample band may appear"
"AC-0004-0001","1","spec-0004/03_Acceptance-Criteria.md:3","## AC-0004-0001","prose","","US-0004-0001","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0001: . Review source bodies before plan inclusion.","review_for_migration","- `qfai validate` runs deterministic validators and aggregates issues.","spec-0004/02_User-stories.md:31","As a maintainer, I want `qfai validate` to remain the deterministic machine gate, so that schema and evidence integrity can be checked without human judgment."
"AC-0004-0002","1","spec-0004/03_Acceptance-Criteria.md:7","## AC-0004-0002","prose","","US-0004-0020","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0020: . Review source bodies before plan inclusion.","review_for_migration","- The canonical UIX validator set remains the production path.","spec-0004/02_User-stories.md:39","As a CI operator, I want canonical validators only in the production validate path, so that removed compatibility surfaces do not reappear."
"AC-0004-0003","1","spec-0004/03_Acceptance-Criteria.md:11","## AC-0004-0003","prose","","US-0004-0016","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0016: . Review source bodies before plan inclusion.","review_for_migration","- `QFAI-UIE-001` fires when a declared screen is missing screenshot evidence.","spec-0004/02_User-stories.md:35","As a prototyping maintainer, I want declared screen evidence gaps to fail validation, so that missing screenshot or HTML artifacts never pass silently."
"AC-0004-0004","1","spec-0004/03_Acceptance-Criteria.md:15","## AC-0004-0004","prose","","US-0004-0016","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0016: . Review source bodies before plan inclusion.","review_for_migration","- `QFAI-UIE-002` fires when a declared screen is missing HTML snapshot evidence.","spec-0004/02_User-stories.md:35","As a prototyping maintainer, I want declared screen evidence gaps to fail validation, so that missing screenshot or HTML artifacts never pass silently."
"AC-0004-0005","1","spec-0004/03_Acceptance-Criteria.md:19","## AC-0004-0005","prose","","US-0004-0016","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0016: . Review source bodies before plan inclusion.","review_for_migration","- If no screen contract exists, the UI evidence validator skips without error.","spec-0004/02_User-stories.md:35","As a prototyping maintainer, I want declared screen evidence gaps to fail validation, so that missing screenshot or HTML artifacts never pass silently."
"AC-0004-0006","1","spec-0004/03_Acceptance-Criteria.md:23","## AC-0004-0006","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- The prototyping skill validator confirms current skill sections, evidence paths, and CLI-removal wording.","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0007","1","spec-0004/03_Acceptance-Criteria.md:27","## AC-0004-0007","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- Legacy artifact validators may still exist, but they are treated as validator slices rather than proof of a public runtime surface.","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0008","1","spec-0004/03_Acceptance-Criteria.md:31","## AC-0004-0008","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- DCON-030 validates that root `DESIGN.md` exists and contains the required token tables (color, typography, radius, shadow) parseable per `references/design-md-spec.md`. - Missing or unparseable `DESIGN.md` emits `QFAI-DCON-030` at error severity.","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0009","1","spec-0004/03_Acceptance-Criteria.md:36","## AC-0004-0009","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- DCON-031 validates that `<paths.contractsDir>/design/DESIGN.md.lock.yaml#sha256` matches `sha256(DESIGN.md bytes)` byte-for-byte. - Hash drift emits `QFAI-DCON-031` at error severity with both the lock sha256 and the on-disk sha256 in the message.","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0010","1","spec-0004/03_Acceptance-Criteria.md:41","## AC-0004-0010","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- DCON-032 validates that `<paths.contractsDir>/design/design-system.yaml` token tables (color, typography, radius, shadow) are byte-equivalent to the parsed token tables of root `DESIGN.md`. - Any divergence emits `QFAI-DCON-032` at error severity, listing th","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0011","1","spec-0004/03_Acceptance-Criteria.md:46","## AC-0004-0011","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- prototypingEvidenceV3 validator checks each `.qfai/evidence/prototyping/iter-NN/review.json` against schema v3: 4 UX axes (`informationArchitecture`, `navigationFlow`, `usability`, `functionality`) each scored on the ordinal scale `{weak, acceptable, strong,","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0012","1","spec-0004/03_Acceptance-Criteria.md:51","## AC-0004-0012","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- `layoutAntiPatternsDetected` is an array of strings drawn from the whitelist in `packages/qfai/assets/validators/layoutAntiPatterns.json`, which is the SSOT the validator resolves against (`loadKnownLapIds`): `{lap-007-state-not-represented, lap-008-no-back-","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0013","1","spec-0004/03_Acceptance-Criteria.md:57","## AC-0004-0013","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- `designMdViolations` is an array of objects with shape `{kind: ""color""|""font""|""radius""|""shadow"", found: string}` — the shape `core/validators/prototypingEvidence.ts` checks (`isViolationArray`, and `DESIGN_MD_VIOLATION_KINDS` for the enum). - A missing `kind","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0014","1","spec-0004/03_Acceptance-Criteria.md:63","## AC-0004-0014","prose","","US-0004-0027","proposed_semantic","AC heading/scenario '' describes the action in US-0004-0027: . Review source bodies before plan inclusion.","review_for_migration","- `findDesignMdViolations(html, designMd)` is pure (no I/O, no clock, no global state) and deterministic (same input bytes → same output array). - Property tests assert: (a) idempotence, (b) order-stability, (c) absence of `Date`, `process`, `fs`, network call","spec-0004/02_User-stories.md:43","As a maintainer, I want validate to enforce current `/qfai-prototyping` skill contracts and UI evidence paths, so that skill-first prototyping stays mechanically auditable."
"AC-0004-0015","1","spec-0004/03_Acceptance-Criteria.md:68","## AC-0004-0015","prose","US-0004-0028","US-0004-0028","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:68 declares US-0004-0028 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0028 - Given a project with a directory at `.qfai/assistant/steering/` (or any other non-canonical layer name) - When `qfai validate` runs - Then a finding is emitted naming the offending directory; the canonical layer enum (`constitution`, ","spec-0004/02_User-stories.md:47","As a release manager validating a v1.9.0 project, I want `qfai validate` to enforce that `.qfai/assistant/` only contains the 4 canonical layers (`constitution/`, `manifest/`, `catalog/`, `process/`), so that drift back to the legacy single-layer `steering/` i"
"AC-0004-0016","1","spec-0004/03_Acceptance-Criteria.md:76","## AC-0004-0016","prose","US-0004-0029","US-0004-0029","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:76 declares US-0004-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0029 - Given a work-log entry file at `.qfai/steering/<name>.md` whose YAML frontmatter omits a required field, uses a wrong enum value for `kind`/`status`, or carries a malformed `created`/`updated` timestamp - When `qfai validate` runs - T","spec-0004/02_User-stories.md:51","As an AI agent reading/writing work-log entries under `.qfai/steering/`, I want `qfai validate` to verify the YAML frontmatter schema and check that `links: [...]` resolve to real specs/discussions/entries, so that broken-link rot and ad-hoc schema drift are c"
"AC-0004-0017","1","spec-0004/03_Acceptance-Criteria.md:83","## AC-0004-0017","prose","US-0004-0029","US-0004-0029","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:83 declares US-0004-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0029 - Given a work-log entry whose `links:` array names a missing spec, discussion pack, and kebab-case entry ID without requiring an `entry-` prefix - When `qfai validate` runs - Then `W-WORKLOG-BROKEN-LINK` is emitted at warning severity ","spec-0004/02_User-stories.md:51","As an AI agent reading/writing work-log entries under `.qfai/steering/`, I want `qfai validate` to verify the YAML frontmatter schema and check that `links: [...]` resolve to real specs/discussions/entries, so that broken-link rot and ad-hoc schema drift are c"
"AC-0004-0018","1","spec-0004/03_Acceptance-Criteria.md:91","## AC-0004-0018","prose","US-0004-0030","US-0004-0030","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:91 declares US-0004-0030 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0030 - Given a reviewer report containing an `R-WORKLOG-DRIFT` or `R-REJECTED-READOPT` finding with an empty or missing `justification:` field - When `qfai validate` ingests the reviewer report - Then the validator rejects the run with sever","spec-0004/02_User-stories.md:55","As a Reviewer-Gate consumer, I want `qfai validate` to require non-empty `justification:` on every `R-WORKLOG-DRIFT` / `R-REJECTED-READOPT` finding and to flag `kind: handoff` entries missing any of the 5 required body sections via `R-HANDOFF-INCOMPLETE`, so t"
"AC-0004-0019","1","spec-0004/03_Acceptance-Criteria.md:98","## AC-0004-0019","prose","US-0004-0030","US-0004-0030","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:98 declares US-0004-0030 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0030 - Given a work-log entry with `kind: handoff` whose body is missing at least one of the 5 required sections (`## State of the task`, `## Next single action`, `## Constraints to preserve`, `## Open questions`, `## References to consult f","spec-0004/02_User-stories.md:55","As a Reviewer-Gate consumer, I want `qfai validate` to require non-empty `justification:` on every `R-WORKLOG-DRIFT` / `R-REJECTED-READOPT` finding and to flag `kind: handoff` entries missing any of the 5 required body sections via `R-HANDOFF-INCOMPLETE`, so t"
"AC-0004-0020","1","spec-0004/03_Acceptance-Criteria.md:105","## AC-0004-0020","prose","US-0004-0031","US-0004-0031","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:105 declares US-0004-0031 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0031 - Given a work-log entry of `kind: decision` whose declared `promote-to: spec-NNNN/07_Decisions.md` target has no row citing the entry ID as a whole token, or whose status is not `archived`, or whose `promoted-to` does not name that row","spec-0004/02_User-stories.md:59","As an engineer closing decision loops, I want `qfai validate` to surface `W-PENDING-PROMOTION` until a work-log decision is fully promoted (`07_Decisions.md` row + archive + `promoted-to` back-ref) AND to surface `W-WORKLOG-STALE` for `status: active` entries "
"AC-0004-0021","1","spec-0004/03_Acceptance-Criteria.md:113","## AC-0004-0021","prose","US-0004-0031","US-0004-0031","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:113 declares US-0004-0031 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0031 - Given a `status: active` work-log entry whose `updated` timestamp is older than 90 days from now - When `qfai validate` runs - Then `W-WORKLOG-STALE` is emitted at warning severity naming the entry and its age in days","spec-0004/02_User-stories.md:59","As an engineer closing decision loops, I want `qfai validate` to surface `W-PENDING-PROMOTION` until a work-log decision is fully promoted (`07_Decisions.md` row + archive + `promoted-to` back-ref) AND to surface `W-WORKLOG-STALE` for `status: active` entries "
"AC-0004-0022","1","spec-0004/03_Acceptance-Criteria.md:120","## AC-0004-0022","prose","US-0004-0032","US-0004-0032","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:120 declares US-0004-0032 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0032 - Given a project still carrying `.qfai/assistant/steering/` after the v1.9.0 release - When `qfai validate` runs in v1.9.x - Then `D-DEPRECATED-PATH` warning is emitted with the body string literally containing `sunset: v1.10.0`; in v1","spec-0004/02_User-stories.md:63","As a v1.9.0 migration adopter, I want `qfai validate` to emit `D-DEPRECATED-PATH` (with the sunset minor version named in-text) when legacy `.qfai/assistant/steering/` is detected AND to enforce that every `qfai-*` SKILL.md declares a `project_memory:` YAML bl"
"AC-0004-0023","1","spec-0004/03_Acceptance-Criteria.md:127","## AC-0004-0023","prose","US-0004-0032","US-0004-0032","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:127 declares US-0004-0032 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0032 - Given a `qfai-*` skill whose SKILL.md does not declare a top-level `project_memory:` YAML block - When `qfai validate` runs - Then an error finding is emitted (no specific code; uses `QFAI-SKILL-*` family) naming the skill and pointin","spec-0004/02_User-stories.md:63","As a v1.9.0 migration adopter, I want `qfai validate` to emit `D-DEPRECATED-PATH` (with the sunset minor version named in-text) when legacy `.qfai/assistant/steering/` is detected AND to enforce that every `qfai-*` SKILL.md declares a `project_memory:` YAML bl"
"AC-0004-0024","1","spec-0004/03_Acceptance-Criteria.md:134","## AC-0004-0024","prose","US-0004-0033","US-0004-0033","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:134 declares US-0004-0033 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0033 - Given a `qfai-*` SKILL.md whose body references a path that no longer resolves under the 4-layer layout (e.g., `.qfai/assistant/steering/agent-routing.yml`) - When `qfai validate` runs - Then `W-SKILL-DOC-BROKEN-REF` is emitted; sever","spec-0004/02_User-stories.md:67","As a SKILL.md author and `qfai init --upgrade-assistant-tree` user, I want `qfai validate` to surface `W-SKILL-DOC-BROKEN-REF` for SKILL.md references that don't resolve in the new layout AND to recognize the `W-USER-EDIT-PRESERVED` informational note from the"
"AC-0004-0025","1","spec-0004/03_Acceptance-Criteria.md:142","## AC-0004-0025","prose","US-0004-0033","US-0004-0033","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:142 declares US-0004-0033 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0033 - Given a validate run on a project that just completed `qfai init --upgrade-assistant-tree` - When the migration emitted `W-USER-EDIT-PRESERVED` informational notes - Then the validator recognizes those notes as informational pass-thro","spec-0004/02_User-stories.md:67","As a SKILL.md author and `qfai init --upgrade-assistant-tree` user, I want `qfai validate` to surface `W-SKILL-DOC-BROKEN-REF` for SKILL.md references that don't resolve in the new layout AND to recognize the `W-USER-EDIT-PRESERVED` informational note from the"
"AC-0004-0026","1","spec-0004/03_Acceptance-Criteria.md:149","## AC-0004-0026","prose","US-0004-0029","US-0004-0029","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:149 declares US-0004-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0029 (sub-criterion of REQ-0035 frontmatter schema; meta-validation of the manifest pipeline that surfaces agent SSOT divergence) - Given the `agent-catalog.yml` entry for any agent declares a `developer_instructions` field that diverges fro","spec-0004/02_User-stories.md:51","As an AI agent reading/writing work-log entries under `.qfai/steering/`, I want `qfai validate` to verify the YAML frontmatter schema and check that `links: [...]` resolve to real specs/discussions/entries, so that broken-link rot and ad-hoc schema drift are c"
"AC-0004-0027","1","spec-0004/03_Acceptance-Criteria.md:157","## AC-0004-0027","prose","US-0004-0029","US-0004-0029","explicit_parent","Source spec-0004/03_Acceptance-Criteria.md:157 declares US-0004-0029 on Parent/US-Refs line.","review_for_migration","- US-Refs: US-0004-0029 (sub-criterion of REQ-0035 frontmatter schema) - Given a `.qfai/steering/<id>.md` entry whose `created` or `updated` field value either (a) does not match the surface regex `^\d{4}-\d{2}-\d{2}$` OR (b) matches the regex but is not a val","spec-0004/02_User-stories.md:51","As an AI agent reading/writing work-log entries under `.qfai/steering/`, I want `qfai validate` to verify the YAML frontmatter schema and check that `links: [...]` resolve to real specs/discussions/entries, so that broken-link rot and ad-hoc schema drift are c"
